"SAMPLES","CLASS","X","Y"
"cell640","class1",1.9977922175,1.8241707963
"cell641","class1",3.1264351105,1.8802052267
"cell642","class1",2.0233263041,1.4566506229
"cell643","class1",2.8109394368,1.6048241477
"cell644","class1",2.2435357872,2.362759718
"cell645","class1",4.0437676203,1.3014377637
"cell646","class1",1.862067665,2.5852179683
"cell647","class1",2.4809197945,2.8316601623
"cell648","class1",4.157122265,2.0066010636
"cell649","class1",3.7521224828,2.8989706268
"cell650","class1",1.8418381631,2.8034891659
"cell651","class1",2.5971693749,2.0393991962
"cell652","class1",3.0629127385,1.7999358126
"cell653","class1",2.6000622727,2.4260541136
"cell654","class1",3.1723239308,1.6677839717
"cell655","class1",2.6909289053,1.9118375852
"cell656","class1",2.5539409782,2.6003004251
"cell657","class1",3.1836605369,1.4947186892
"cell658","class1",3.6758390514,1.6512806954
"cell659","class1",3.8417936837,2.4389016341
"cell660","class1",3.7559222289,1.0810389512
"cell661","class1",2.4091732527,2.4653520204
"cell662","class1",3.3362847035,1.9523589794
"cell663","class1",1.9650928513,1.9260531667
"cell664","class1",2.8867342702,1.9230608042
"cell665","class1",1.4869077568,1.8061394666
"cell666","class1",4.2059903624,1.9721567209
"cell667","class1",3.051841801,1.7686875074
"cell668","class1",4.743001044,1.6056241025
"cell669","class1",3.7960108867,2.5047803639
"cell670","class1",2.6044753552,1.9983269827
"cell671","class1",3.2967164394,2.2284935247
"cell672","class1",3.2391899283,2.2825149509
"cell673","class1",3.6025427004,1.9135128212
"cell674","class1",3.6585763679,1.8205562266
"cell675","class1",3.1330083469,2.2154896443
"cell676","class1",2.5879919471,1.8484033521
"cell677","class1",4.5599993032,2.2593075626
"cell678","class1",3.4653745735,1.4553780229
"cell679","class1",3.7246987284,2.01452152
"cell680","class1",4.0686239642,2.0596574994
"cell681","class1",3.4332272186,2.6897160562
"cell682","class1",4.0040341617,2.8740455051
"cell683","class1",2.0522525725,1.8867341132
"cell684","class1",3.0788541176,1.6640167612
"cell685","class1",2.9659641504,1.4773146028
"cell686","class1",2.9065426774,1.7124093916
"cell687","class1",4.1200480637,2.0012886827
"cell688","class1",2.9975664444,1.3767789636
"cell689","class1",1.9097906319,1.761436399
"cell690","class1",3.3116893384,2.2756163168
"cell691","class1",3.6426110568,2.7124463263
"cell692","class1",3.4123295415,2.4909650035
"cell693","class1",2.8960417456,1.6825672014
"cell694","class1",2.4656638272,1.0004492564
"cell695","class1",3.1920095259,1.8008563629
"cell696","class1",2.0101388566,2.1746439806
"cell697","class1",4.1689062699,2.0250589096
"cell698","class1",2.5145042817,1.697422405
"cell699","class1",3.1554755119,1.7184416184
"cell700","class1",3.7687586292,2.2215354262
"cell701","class1",1.6890325796,2.6924554618
"cell702","class1",3.3421142627,2.3133697038
"cell703","class1",3.4105336731,0.9047311292
"cell704","class1",4.0106439721,1.5794032972
"cell705","class1",4.6314606931,1.4610300886
"cell706","class1",4.5980514827,1.5461361241
"cell707","class1",5.2909585017,2.6929006725
"cell708","class1",1.8436580979,2.181473894
"cell709","class1",2.2861346464,2.0119748163
"cell710","class1",3.382638038,1.9403128659
"cell711","class1",1.5707757161,1.0500224916
"cell712","class1",1.8184174013,1.8527152805
"cell713","class1",4.0578664585,1.6950480749
"cell714","class1",2.7714270125,1.918248116
"cell715","class1",3.4012411864,1.6019011146
"cell716","class1",2.8627610189,2.331006206
"cell717","class1",1.8668057984,1.8366085614
"cell718","class1",1.929057307,2.1257504115
"cell719","class1",3.8682989831,2.2892108934
"cell720","class1",4.495438541,2.0163720147
"cell721","class1",2.1995803398,2.0152284939
"cell722","class1",2.584497271,2.4562380893
"cell723","class1",3.5414877513,2.4646456741
"cell724","class1",2.6077115856,1.3678127348
"cell725","class1",3.0200901926,1.3640702647
"cell726","class1",0.204081853,2.6795572066
"cell727","class1",1.3109347553,1.8613095558
"cell728","class1",3.6092474147,2.0838430565
"cell729","class1",3.7863662456,2.1150383849
"cell730","class1",4.1186881965,1.8785321733
"cell731","class1",2.154556957,2.0655918091
"cell732","class1",2.5919642962,1.8040531245
"cell733","class1",3.606215635,2.5390681073
"cell734","class1",4.4072261685,2.2850010372
"cell735","class1",4.0730497521,1.6209110664
"cell736","class1",1.4684544337,2.3317457408
"cell737","class1",3.0820234509,1.3441376357
"cell738","class1",2.1054905609,1.4169803059
"cell739","class1",3.3864059501,1.3991036856
"cell740","class1",3.3972805464,1.8969971669
"cell741","class1",2.86038071,2.2496196907
"cell742","class1",2.6122475895,2.4626714766
"cell743","class1",2.4051075418,1.7129434792
"cell744","class1",3.7614109557,1.5973838349
"cell745","class1",3.9371868725,2.0872342598
"cell746","class1",2.1718020556,2.3200783441
"cell747","class1",5.249866344,1.4307698141
"cell748","class1",3.10783731,1.7932237662
"cell749","class1",4.0097790753,2.0406897473
"cell750","class1",4.7185437525,1.7777038095
"cell751","class1",4.4538764559,1.8818104031
"cell752","class1",2.5142725079,1.7386755079
"cell753","class1",3.1178507329,2.8183567279
"cell754","class1",3.7867872345,1.090734913
"cell755","class1",1.7467391647,2.0512113611
"cell756","class1",2.3286638972,2.8897514989
"cell757","class1",2.5829644742,1.8249658287
"cell758","class1",2.0096493956,2.1026822519
"cell759","class1",3.5864554272,0.9894822402
"cell760","class1",1.1164772403,1.1882066194
"cell761","class1",3.3125935781,1.2630118697
"cell762","class1",4.2899953839,2.7834353269
"cell763","class1",3.4335544267,2.3863121739
"cell764","class1",3.0264534731,1.7385398455
"cell765","class1",2.8018656581,2.1302349716
"cell766","class1",3.2517818007,2.9515217956
"cell767","class1",3.6651971543,1.5673256201
"cell768","class1",3.2279630939,2.2388355416
"cell769","class1",3.4170998486,2.4067541254
"cell770","class1",1.4438797078,1.3871810156
"cell771","class1",3.885827912,1.3872217711
"cell772","class1",3.1962641905,2.1726003047
"cell773","class1",1.5574059256,2.303663184
"cell774","class1",3.4038336446,1.2850528666
"cell775","class1",2.1421610634,2.5370876343
"cell776","class1",3.2714825361,1.7877148735
"cell777","class1",2.1066704539,1.0809840065
"cell778","class1",3.9164844548,2.1129643136
"cell779","class1",3.3582774409,2.6468167233
"cell780","class1",4.2365596644,1.8675269619
"cell781","class1",4.7418482174,2.702794855
"cell782","class1",3.9443144178,2.3753583243
"cell783","class1",3.1223502269,1.3214227635
"cell784","class1",3.5586238621,1.5767326815
"cell785","class1",3.2136737091,1.9772868447
"cell786","class1",2.6348778208,2.5974544618
"cell787","class1",1.3647849817,2.2551728233
"cell788","class1",1.6926604086,1.3012226097
"cell789","class1",1.6688464983,2.6898347906
"cell790","class1",2.4321910995,2.0963522142
"cell791","class1",1.6019157469,2.4333176582
"cell792","class1",3.5943878989,1.7071493419
"cell793","class1",3.2349369661,1.4937298886
"cell794","class1",1.300943036,1.5129112385
"cell795","class1",1.0252061992,2.5435229174
"cell796","class1",2.6309138013,0.9854947937
"cell797","class1",3.6635677611,2.0117588935
"cell798","class1",2.542688189,1.7096656011
"cell799","class1",1.5187541812,1.7753979875
"cell800","class1",1.5252892327,1.7129903762
"cell801","class1",3.9273049175,1.8607088667
"cell802","class1",3.0389492849,2.12136157
"cell803","class1",3.413736807,1.6414568789
"cell804","class1",2.3019716779,1.5299706283
"cell805","class1",2.7996745161,1.2554945841
"cell806","class1",4.225662233,1.4624801563
"cell807","class1",2.6770760567,2.6708754086
"cell808","class1",2.9331784866,1.7748214208
"cell809","class1",1.6480067473,1.2069201248
"cell810","class1",2.6199861244,1.5570684089
"cell811","class1",4.5116607542,2.1529015907
"cell812","class1",2.1153205993,1.9437111663
"cell813","class1",3.5934418264,2.0335024235
"cell814","class1",2.6931777713,1.8237695188
"cell815","class1",3.5355728302,2.6650111415
"cell816","class1",4.3128717311,1.6434532643
"cell817","class1",3.2567681901,1.5999821661
"cell818","class1",2.5346837156,1.0724615117
"cell819","class1",1.6436124684,1.9223392976
"cell820","class1",2.9212218607,1.8319650565
"cell821","class1",3.5345634045,2.2702037452
"cell822","class1",3.3467569974,1.7217413507
"cell823","class1",3.0068796193,1.4186941035
"cell824","class1",2.5580867669,1.013340529
"cell825","class1",3.1995668696,3.4259051571
"cell826","class1",3.1362536115,2.1908560824
"cell827","class1",3.4539954964,3.0240540118
"cell828","class1",2.1415636914,2.2053630836
"cell829","class1",3.2187577699,1.2676916166
"cell830","class1",4.7597247029,2.4977262822
"cell831","class1",2.2674442461,1.7896794374
"cell832","class1",4.578533154,2.6079520939
"cell833","class1",2.9593126472,2.5149067669
"cell834","class1",1.551345535,2.333638698
"cell835","class1",4.3617697523,2.1760494697
"cell836","class1",4.1983252339,1.8979425594
"cell837","class1",2.3615132559,2.9180167554
"cell838","class1",2.6634025831,1.933611731
"cell839","class1",4.0777036399,1.3888913901
"cell840","class1",2.7995883203,1.3680172079
"cell841","class1",3.1794922347,2.0724450572
"cell842","class1",2.0047601112,1.589973124
"cell843","class1",3.0208321348,1.19433488
"cell844","class1",4.0288526242,1.8311714083
"cell845","class1",4.1187503236,2.3202644997
"cell846","class1",2.9275346628,2.4821326387
"cell847","class1",2.9659996483,1.9602446429
"cell848","class1",2.9230060437,1.6350333077
"cell849","class1",2.8982448745,1.75151546
"cell850","class1",2.4084922295,1.2586860719
"cell851","class1",4.7779546849,2.1099188069
"cell852","class1",2.8524984196,1.6143227713
"cell853","class1",2.5830556369,1.6814368182
"cell854","class1",2.7539686139,1.7622910903
"cell855","class1",1.9596425913,1.8631238995
"cell856","class1",2.6120064088,2.1857194025
"cell857","class1",3.0344165196,1.9739176244
"cell858","class1",1.9059198677,2.6096050413
"cell859","class1",3.0654642536,1.8053617894
"cell860","class1",3.7475848652,2.273611767
"cell861","class1",1.9710506855,1.4374148637
"cell862","class1",2.9818764,1.398645859
"cell863","class1",2.4625311545,1.0434393321
"cell864","class1",3.6050359879,1.7322769959
"cell865","class1",3.9899635748,1.9715691722
"cell866","class1",4.0219354823,1.8715292109
"cell867","class1",2.7039935753,2.1765608408
"cell868","class1",2.8001162746,2.1376878293
"cell869","class1",3.1432830037,1.4658201385
"cell870","class1",3.1274493478,2.8051837436
"cell871","class1",4.2999907537,2.5369259764
"cell872","class1",2.6086916597,2.353444091
"cell873","class1",3.7809990325,1.8112510302
"cell874","class1",2.617301969,2.7226381167
"cell875","class1",1.2710853412,2.3389680116
"cell876","class1",1.7239988016,2.5807513238
"cell877","class1",1.4072424386,1.6258270611
"cell878","class1",2.0924592662,2.6057465182
"cell879","class1",4.1864615279,1.9034334734
"cell880","class1",2.8307604116,1.6421606985
"cell881","class1",2.2041883442,1.494810547
"cell882","class1",2.5793757475,1.6386194537
"cell883","class1",1.3478814364,1.1958887698
"cell884","class1",3.7242161878,1.6960536906
"cell885","class1",2.8674299877,1.5201095629
"cell886","class1",1.3196989026,2.4485493958
"cell887","class1",3.7808268817,2.7618923239
"cell888","class1",4.7377838615,1.7353302088
"cell889","class1",2.2210695178,1.9311062183
"cell890","class1",3.6740321123,1.5333203673
"cell891","class1",3.7035337868,2.5186134232
"cell892","class1",3.4884619711,1.3169180571
"cell893","class1",2.8438346583,2.6862052476
"cell894","class1",3.9354058783,2.3231284844
"cell895","class1",2.270575428,1.0456052435
"cell896","class1",3.0552761498,1.7253307978
"cell897","class1",2.5742944167,1.79612339
"cell898","class1",3.0997587109,2.2625503688
"cell899","class1",3.3193800512,2.6196302381
"cell900","class1",2.6805488361,1.9658379342
"cell901","class1",1.7574665996,1.7135739143
"cell902","class1",3.5359988042,0.7031641585
"cell903","class1",2.5083846554,1.6939481545
"cell904","class1",3.0721546717,2.5578342273
"cell905","class1",3.4008335696,1.6309931229
"cell906","class1",3.1465651339,2.2939355703
"cell907","class1",5.6642501432,2.189940344
"cell908","class1",1.0788129961,1.2314103015
"cell909","class1",3.0242795968,1.8804162705
"cell910","class1",3.2476337268,2.4214614742
"cell911","class1",3.9658008164,2.2408930727
"cell912","class1",2.6084247832,2.3191503306
"cell913","class1",3.2295923289,2.0252239705
"cell914","class1",3.5836276811,1.5334504691
"cell915","class1",1.1126709353,2.2362243539
"cell916","class1",3.582478558,2.0926101687
"cell917","class1",2.6089268324,1.8587626756
"cell918","class1",3.9267876041,1.2298943521
"cell919","class1",3.6056086967,2.0118916974
"cell920","class1",2.9067867808,1.5723812238
"cell921","class1",2.2722495423,2.8093475168
"cell922","class1",1.8408449115,2.2286170393
"cell923","class1",2.0090408777,2.9039995229
"cell924","class1",2.5132623433,2.0531495332
"cell925","class1",2.5313970789,1.8576205475
"cell926","class1",2.4234048937,1.7067117801
"cell927","class1",2.8762645394,1.7119984606
"cell928","class1",4.3622517219,1.8019012286
"cell929","class1",3.1859292319,2.6991837116
"cell930","class1",3.0131803593,1.4232410323
"cell931","class1",2.2789403082,2.3603942472
"cell932","class1",3.2206190289,1.9454434279
"cell933","class1",2.4301501032,2.7463530187
"cell934","class1",0.185235815,1.3179055342
"cell935","class1",2.8204039764,2.1550223045
"cell936","class1",3.8075583157,1.4871147526
"cell937","class1",4.0138727514,1.7347341837
"cell938","class1",3.2015213258,1.9839121356
"cell939","class1",2.7045999763,1.7518075946
"cell940","class1",1.5995593483,2.1823439024
"cell941","class1",3.100179344,2.0079489752
"cell942","class1",2.3038559115,2.1620601512
"cell943","class1",1.9683361427,1.2726149988
"cell944","class1",3.0518639581,1.8235463217
"cell945","class1",2.4667859401,1.7384677399
"cell946","class1",3.7895621163,1.9829253375
"cell947","class1",4.0503592546,1.967178265
"cell948","class1",1.8717123979,2.4052914679
"cell949","class1",2.8894053602,2.0604424316
"cell950","class1",1.4786337002,2.6064765238
"cell951","class1",2.9780727391,2.5783186389
"cell952","class1",2.6469335775,1.2922494235
"cell953","class1",4.1744750635,1.4192203538
"cell954","class1",4.4895099088,1.5917333125
"cell955","class1",3.6817632553,2.0873385819
"cell956","class1",2.9485289747,1.3956307199
"cell957","class1",2.8070569384,2.1173876357
"cell958","class1",4.1349026572,2.1949865886
"cell959","class1",3.2490809094,1.9261282404
"cell960","class1",3.3246365424,1.7896678492
"cell961","class1",2.2829530981,2.8260700918
"cell962","class1",4.000979386,1.8612671308
"cell963","class1",3.6373662269,2.3532280864
"cell964","class1",3.5786710704,1.7283020545
"cell965","class1",4.1947628656,2.6041441941
"cell966","class1",3.0836796046,1.0451173779
"cell967","class1",1.7878522083,1.7445906905
"cell968","class1",2.9220807439,2.0017408309
"cell969","class1",3.1956842604,1.0036501694
"cell970","class1",4.3476083057,3.5458799686
"cell971","class1",2.953403274,1.889915568
"cell972","class1",2.0400517711,3.1083287567
"cell973","class1",3.5955323245,2.326386837
"cell974","class1",4.4534190158,1.9477282377
"cell975","class1",3.6104174758,1.2599989986
"cell976","class1",1.6621045355,1.7344755666
"cell977","class1",3.7631891337,2.1199613353
"cell978","class1",3.7092925201,0.9858394616
"cell979","class1",1.5723113773,1.7154828517
"cell980","class1",3.1007043058,2.292063759
"cell981","class1",3.7714058338,2.3921371437
"cell982","class1",2.5419074581,1.9383865523
"cell983","class1",3.700336974,1.3917846835
"cell984","class1",3.8145737684,1.3323525825
"cell985","class1",3.8443977526,2.0252734082
"cell986","class1",4.5036619486,2.0768788827
"cell987","class1",1.0242808939,2.8934767577
"cell988","class1",1.0105358326,2.2268098011
"cell989","class1",2.8042584118,2.0188260494
"cell990","class1",2.4904468085,2.0533027664
"cell991","class1",3.0523675456,1.8734633598
"cell992","class1",1.6594830028,1.6856617586
"cell993","class1",5.1316569642,2.470015413
"cell994","class1",3.0108286705,1.9098149126
"cell995","class1",2.1277232983,2.1280375636
"cell996","class1",3.3884052074,2.1667713093
"cell997","class1",1.7452904654,1.5616230129
"cell998","class1",3.5348675584,1.490765799
"cell999","class1",2.6963020842,1.7266612095
"cell1000","class1",2.0623066671,0.9126948608
"cell1001","class2",4.9031838888,0.2957434697
"cell1002","class2",4.8816940108,0.3966159356
"cell1003","class2",5.3079812153,0.666865092
"cell1004","class2",4.8974264051,-0.7972600718
"cell1005","class2",5.0078005578,0.5842609515
"cell1006","class2",5.5742468189,-0.7411456778
"cell1007","class2",4.8871614262,-0.3247944744
"cell1008","class2",4.7965110132,-0.1103136064
"cell1009","class2",5.0015396167,-0.8497317428
"cell1010","class2",5.7383769527,0.2632738606
"cell1011","class2",5.8655788615,0.0018036141
"cell1012","class2",4.9022826599,-0.0444180211
"cell1013","class2",5.2323675506,-0.7457121026
"cell1014","class2",5.5991809417,0.2456620754
"cell1015","class2",4.7370430925,-0.2091243265
"cell1016","class2",5.230751205,0.7303655538
"cell1017","class2",4.6726073017,0.6928973613
"cell1018","class2",4.8839556069,-0.0641478144
"cell1019","class2",4.3479220083,0.0929914291
"cell1020","class2",4.8625217021,0.5936460032
"cell1021","class2",4.7528876989,0.6620709343
"cell1022","class2",4.8841451368,0.0513092601
"cell1023","class2",5.2381793254,1.1660724915
"cell1024","class2",4.693830004,0.4171054391
"cell1025","class2",4.3248738359,0.6514646738
"cell1026","class2",4.0329401134,-0.2308914807
"cell1027","class2",4.5428613316,-0.7163493251
"cell1028","class2",5.6770922989,0.5400600967
"cell1029","class2",5.7406535935,0.3062874262
"cell1030","class2",4.742045891,0.3578984498
"cell1031","class2",4.8384812991,-0.4111968962
"cell1032","class2",4.9790001903,-0.3056454483
"cell1033","class2",5.4132099294,0.5509225313
"cell1034","class2",5.0727643309,-0.2052030355
"cell1035","class2",4.996372696,0.7722926481
"cell1036","class2",5.4746126067,-0.3922125721
"cell1037","class2",4.991175298,0.9735430289
"cell1038","class2",4.1241213748,-0.8672247278
"cell1039","class2",5.0752679231,-1.2188379493
"cell1040","class2",4.9947146502,0.1048685774
"cell1041","class2",5.9175515045,0.9116466853
"cell1042","class2",4.2903991159,0.5138176798
"cell1043","class2",5.7490536612,0.5578919715
"cell1044","class2",5.3950847556,-0.1109367313
"cell1045","class2",5.5496057537,0.0975209194
"cell1046","class2",5.1227272848,0.1457144809
"cell1047","class2",4.4597046243,-0.6176036743
"cell1048","class2",4.7375700864,0.8104058868
"cell1049","class2",6.1130774087,-0.1898088248
"cell1050","class2",4.7937992288,0.2329935821
"cell1051","class2",5.5580171598,-0.1739757392
"cell1052","class2",4.9910329834,0.9280519573
"cell1053","class2",4.3184734151,0.764537099
"cell1054","class2",5.074847514,0.3597610516
"cell1055","class2",5.122823194,-0.1966606737
"cell1056","class2",5.2228065308,-0.6390286544
"cell1057","class2",5.3211223449,0.1506805283
"cell1058","class2",5.6017392668,0.5668768567
"cell1059","class2",4.9975333074,-0.0675397434
"cell1060","class2",4.4973817134,-0.7287463133
"cell1061","class2",5.9731937132,1.0099884234
"cell1062","class2",5.296284614,-0.6261959666
"cell1063","class2",5.278484653,0.7968927677
"cell1064","class2",5.0147880644,0.3820970024
"cell1065","class2",5.5679788047,0.128998617
"cell1066","class2",4.6249829706,0.0573021459
"cell1067","class2",4.3466692257,0.2038484521
"cell1068","class2",5.2625688906,-0.2087530076
"cell1069","class2",4.5092254485,0.2630359538
"cell1070","class2",5.1600457305,0.2716920075
"cell1071","class2",4.9671726933,0.4579227067
"cell1072","class2",4.9833942109,-0.5359701666
"cell1073","class2",4.9105954471,0.1189062017
"cell1074","class2",5.0935339304,-0.0657703813
"cell1075","class2",5.2882839111,0.9605539113
"cell1076","class2",4.1325820722,-0.8821201823
"cell1077","class2",4.9768503319,0.3283434713
"cell1078","class2",4.2561047477,-0.287230771
"cell1079","class2",4.3433560258,-0.5264495469
"cell1080","class2",4.7907654903,0.6557610527
"cell1081","class2",4.820990205,0.4749221957
"cell1082","class2",6.1782656371,0.4409194767
"cell1083","class2",5.2055684135,1.1014455504
"cell1084","class2",5.1177024737,0.3398060736
"cell1085","class2",4.6855419659,-0.6035305219
"cell1086","class2",5.1532673177,-0.011111732
"cell1087","class2",5.1446080481,-0.5116205387
"cell1088","class2",4.7408463325,0.1655955057
"cell1089","class2",4.1905287544,-0.045610637
"cell1090","class2",5.0487649935,0.2771108086
"cell1091","class2",4.5101790326,0.3932777864
"cell1092","class2",4.6212415727,0.8105324323
"cell1093","class2",4.2617425535,-0.2754086192
"cell1094","class2",4.4323878195,0.3354516445
"cell1095","class2",4.9775704972,-0.5603528357
"cell1096","class2",5.0372167935,0.5260640819
"cell1097","class2",5.551379408,0.4854240555
"cell1098","class2",4.6715267817,-0.3781320558
"cell1099","class2",4.1115578045,0.0014052552
"cell1100","class2",5.0937193092,0.9468502027
"cell1101","class2",5.2449600538,-0.7200130969
"cell1102","class2",4.8334005089,0.15797354
"cell1103","class2",4.961011207,-0.49697022
"cell1104","class2",5.8231107985,-0.4332615858
"cell1105","class2",4.7563345382,0.4299459186
"cell1106","class2",4.1545782229,0.2669146264
"cell1107","class2",5.7332120737,0.5176730652
"cell1108","class2",4.5424611638,0.6982915065
"cell1109","class2",4.4941863903,-0.6413862996
"cell1110","class2",4.8476975896,-0.3957022616
"cell1111","class2",4.1654935038,-0.4825723998
"cell1112","class2",4.8285099281,0.0819480772
"cell1113","class2",5.4414080601,0.7508569588
"cell1114","class2",5.5902803005,0.0604232688
"cell1115","class2",4.7768390944,-0.1788790122
"cell1116","class2",5.4075017672,0.0696669672
"cell1117","class2",4.9807807827,-0.6749674765
"cell1118","class2",4.7888986053,-0.3979807571
"cell1119","class2",5.6222343048,0.0311375296
"cell1120","class2",4.7103159601,-0.5493949478
"cell1121","class2",4.0603851658,-0.6168992423
"cell1122","class2",4.8228136295,1.105141956
"cell1123","class2",4.9170157283,0.3191699034
"cell1124","class2",4.983201352,-0.4700391508
"cell1125","class2",4.5096270237,-0.4662720847
"cell1126","class2",4.9767322013,-0.1959645586
"cell1127","class2",4.9203670162,-0.4221997366
"cell1128","class2",5.9422481551,-0.5883854539
"cell1129","class2",5.1269973164,0.8258678866
"cell1130","class2",4.9929877167,0.3239203488
"cell1131","class2",4.6240893279,0.0739650174
"cell1132","class2",5.4888429993,0.1156813237
"cell1133","class2",4.7149229676,-0.4883418863
"cell1134","class2",5.1928196672,-0.3322380685
"cell1135","class2",5.6696313117,0.0761332621
"cell1136","class2",4.6683325107,-0.4471685598
"cell1137","class2",4.7742973431,0.5328306419
"cell1138","class2",4.2971914787,-0.7129024507
"cell1139","class2",4.4844469856,0.3317207082
"cell1140","class2",5.1920053114,-0.2923295599
"cell1141","class2",4.8721308731,0.6307012695
"cell1142","class2",4.5221388418,0.2401189538
"cell1143","class2",5.119911874,-0.3817023805
"cell1144","class2",5.4485572059,-0.0547682375
"cell1145","class2",5.9925910641,0.0549466244
"cell1146","class2",5.1886426702,0.4154930283
"cell1147","class2",5.5275161862,-0.3534848551
"cell1148","class2",4.9491659891,0.3073204118
"cell1149","class2",4.4983101863,-0.1726642235
"cell1150","class2",5.0756868367,0.3696757414
"cell1151","class2",6.2085339209,0.4785021969
"cell1152","class2",4.818869432,0.9571320716
"cell1153","class2",5.0572610196,-0.4408509589
"cell1154","class2",4.7779779934,-0.3023938705
"cell1155","class2",3.8271549984,0.9804787851
"cell1156","class2",4.8347052368,-0.3724927345
"cell1157","class2",4.7331233475,-5.96E-005
"cell1158","class2",5.1221155612,-0.107208799
"cell1159","class2",4.9035964797,0.5523573211
"cell1160","class2",5.4712249756,0.2413612046
"cell1161","class2",4.9126997397,-1.2516441082
"cell1162","class2",4.9217273481,0.6462677447
"cell1163","class2",4.0036671053,-0.7201962231
"cell1164","class2",4.998774281,0.067304409
"cell1165","class2",4.9753942408,0.1666100205
"cell1166","class2",5.6826671083,0.2477114067
"cell1167","class2",4.471606262,0.7279966394
"cell1168","class2",5.0577708338,-0.8649118032
"cell1169","class2",5.4454718731,0.2998177114
"cell1170","class2",4.7652595491,0.3436400888
"cell1171","class2",4.7166256933,0.8626423046
"cell1172","class2",5.7820102441,-0.2652994501
"cell1173","class2",4.7219113997,-0.4302278353
"cell1174","class2",4.17784063,-0.3208882874
"cell1175","class2",5.7898798408,-0.1723606962
"cell1176","class2",5.2318545144,0.5371162237
"cell1177","class2",4.852228436,-0.0559856668
"cell1178","class2",4.9205631307,-0.2489283071
"cell1179","class2",4.9908951588,-0.0242424974
"cell1180","class2",4.7930671705,-0.3666067955
"cell1181","class2",5.2692427323,-0.0342381629
"cell1182","class2",5.5003058837,0.4619047695
"cell1183","class2",5.0029744729,-0.3679120636
"cell1184","class2",4.8526537685,-0.4798588723
"cell1185","class2",5.1670003984,0.3458312599
"cell1186","class2",4.7591837807,-0.1723526635
"cell1187","class2",5.0438807798,0.1629098908
"cell1188","class2",4.3354726678,0.7222025826
"cell1189","class2",5.1950652646,0.1417821823
"cell1190","class2",5.3782373932,-0.776464274
"cell1191","class2",5.629215197,-0.9963101104
"cell1192","class2",5.7448298275,-0.5278863035
"cell1193","class2",5.3327932834,0.1109285726
"cell1194","class2",5.751567115,-0.4213828763
"cell1195","class2",5.3903843198,-0.5055596132
"cell1196","class2",5.2889782421,-0.0009511214
"cell1197","class2",4.9368908941,0.0750777718
"cell1198","class2",5.0440759435,0.9319143193
"cell1199","class2",4.6573419565,0.0778541201
"cell1200","class2",4.3585777287,-0.1507089736
"cell1201","class2",5.0963616106,-0.0607435139
"cell1202","class2",5.5655569815,-1.151915471
"cell1203","class2",4.8192772614,-0.1175306086
"cell1204","class2",5.7798137292,-0.3748040986
"cell1205","class2",4.9485879644,-0.0368765908
"cell1206","class2",4.9045903184,0.4136263328
"cell1207","class2",5.638426733,0.1425941309
"cell1208","class2",5.1038212798,-0.9987929318
"cell1209","class2",5.3383527688,-0.6790098656
"cell1210","class2",4.8247227695,-1.4422199082
"cell1211","class2",5.0604031724,-0.2681839075
"cell1212","class2",5.3420782746,-0.7753159326
"cell1213","class2",5.5588098894,-0.2892701481
"cell1214","class2",4.8615297026,-0.4922504284
"cell1215","class2",4.5225415325,-0.375581604
"cell1216","class2",5.8869729991,0.4900311717
"cell1217","class2",5.6118130613,0.7773124878
"cell1218","class2",5.3292850251,0.9201158879
"cell1219","class2",5.6163445307,1.0639406228
"cell1220","class2",4.8460616187,-0.5210233459
"cell1221","class2",4.4731788048,-0.1590950924
"cell1222","class2",5.1778117288,1.1371209836
"cell1223","class2",5.31449518,0.1878706549
"cell1224","class2",4.33789454,-1.001977546
"cell1225","class2",5.0679740801,-0.0105575806
"cell1226","class2",4.9606611215,-0.4160899418
"cell1227","class2",4.7803817532,0.8580062124
"cell1228","class2",5.5548920965,0.7689278437
"cell1229","class2",4.7378684822,0.2445311499
"cell1230","class2",4.6586080781,-0.6595546544
"cell1231","class2",4.5272557463,0.5222476209
"cell1232","class2",5.0144804254,0.3412451655
"cell1233","class2",4.8865558032,-0.3208678492
"cell1234","class2",4.9313030583,-0.3436197758
"cell1235","class2",5.7996265889,0.4281357228
"cell1236","class2",5.6035943982,-0.6427666521
"cell1237","class2",5.0756544788,-0.8054497087
"cell1238","class2",5.8162740853,-0.6190757356
"cell1239","class2",4.8406522545,-0.146530988
"cell1240","class2",3.8509079238,0.2503028666
"cell1241","class2",5.6700116205,-1.0156522664
"cell1242","class2",4.8555352443,-0.0017932198
"cell1243","class2",4.8462698024,-0.6292840995
"cell1244","class2",5.6106966266,0.2850750499
"cell1245","class2",5.8426909237,0.1050769202
"cell1246","class2",4.2589608674,0.1074315842
"cell1247","class2",5.3932534198,0.4675750991
"cell1248","class2",4.3379781502,0.0207757978
"cell1249","class2",4.8487181536,-0.5241783259
"cell1250","class2",5.3313441215,0.3037632156
"cell1251","class2",5.1675382882,0.736120384
"cell1252","class2",5.2306611351,-0.263341706
"cell1253","class2",5.6651162832,-0.8087119187
"cell1254","class2",4.6936093512,-0.2431869066
"cell1255","class2",4.8647939,1.2650446465
"cell1256","class2",5.1657121562,-0.1583258592
"cell1257","class2",5.0807917233,-0.5138737906
"cell1258","class2",5.5085404868,-0.3406414539
"cell1259","class2",5.0839872326,-0.3907672037
"cell1260","class2",5.4363191058,-0.4921851866
"cell1261","class2",4.7700571244,0.1787855482
